bedrooms,bathrooms,property_type,purchase_type,price,new_sub_county,total_rooms
4.0,2.0,House,Sale,16400000.0,Langata & Kibra,8.0
4.0,4.0,House,Sale,59000000.0,Langata & Kibra,10.0
4.0,2.0,House,Sale,13000000.0,Embakasi Areas,8.0
5.0,5.0,House,Sale,55000000.0,Dagoretti North,12.0
4.0,4.0,House,Sale,17000000.0,Embakasi Areas,10.0
4.0,4.0,House,Sale,115000000.0,Westlands & Starehe,10.0
4.0,4.0,House,Sale,160000000.0,Westlands & Starehe,10.0
4.0,5.0,House,Sale,22500000.0,Westlands & Starehe,11.0
3.0,3.0,House,Sale,10000000.0,Embakasi Areas,8.0
3.0,3.0,House,Sale,8000000.0,Embakasi Areas,8.0
5.0,5.0,House,Sale,150000000.0,Westlands & Starehe,12.0
4.0,4.0,House,Sale,78000000.0,Langata & Kibra,10.0
5.0,5.0,House,Sale,60000000.0,Dagoretti North,12.0
4.0,5.0,House,Sale,62000000.0,Dagoretti North,11.0
3.0,3.0,House,Sale,7500000.0,Langata & Kibra,8.0
4.0,4.0,House,Sale,19500000.0,Embakasi Areas,10.0
3.0,4.0,House,Sale,7500000.0,Langata & Kibra,9.0
3.0,4.0,House,Sale,8500000.0,Embakasi Areas,9.0
4.0,4.0,House,Sale,29500000.0,Embakasi Areas,10.0
5.0,4.0,House,Sale,120000000.0,Westlands & Starehe,11.0
3.0,2.0,House,Sale,6500000.0,Embakasi Areas,7.0
4.0,4.0,House,Sale,14800000.0,Embakasi Areas,10.0
5.0,5.0,House,Sale,95000000.0,Dagoretti North,12.0
4.0,5.0,House,Sale,22500000.0,Westlands & Starehe,11.0
5.0,5.0,House,Sale,78000000.0,Westlands & Starehe,12.0
4.0,4.0,House,Sale,15000000.0,Embakasi Areas,10.0
3.0,3.0,House,Sale,8500000.0,Embakasi Areas,8.0
5.0,5.0,House,Sale,135000000.0,Westlands & Starehe,12.0
4.0,4.0,House,Sale,14800000.0,Embakasi Areas,10.0
5.0,5.0,House,Sale,135000000.0,Westlands & Starehe,12.0
