Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Ongata Rongai,Ongata Rongai,None,4,2,"KSh 16,400,000",House,Sale
Windy Ridge,Karen,None,4,4,"KSh 59,000,000",House,Sale
Phase 2,Buruburu,None,4,2,"KSh 13,000,000",House,Sale
Lavington,Lavington,None,5,5,"KSh 55,000,000",House,Sale
Athi river,Kitengela,10000 ft²,4,4,"KSh 17,000,000",House,Sale
Muthaiga,Muthaiga,None,4,4,"KSh 115,000,000",House,Sale
Muthaiga,Muthaiga,None,4,4,"KSh 169,000,000",House,Sale
Runda,Westlands,None,4,5,"KSh 350,000",House,Sale
Kimbo,Ruiru,5000 ft²,3,3,"KSh 10,000,000",House,Sale
Juja,Juja,5000 ft²,3,3,"KSh 8,000,000",House,Sale
Evergreen,"Runda, Westlands",None,5,5,"KSh 150,000,000",House,Sale
Bomas,Karen,None,4,4,"KSh 78,000,000",House,Sale
Lavington,Lavington,5000 ft²,5,6,"KSh 60,000,000",House,Sale
Lavington,Lavington,403 m²,4,5,"KSh 62,000,000",House,Sale
Ngong,Ngong,4000 ft²,3,3,"KSh 7,500,000",House,Sale
Kamakis,Ruiru,4000 ft²,4,4,"KSh 19,500,000",House,Sale
Ngong,Ngong,4000 ft²,3,4,"KSh 7,500,000",House,Sale
Kitengela,Kitengela,4000 ft²,3,4,"KSh 8,500,000",House,Sale
Ruiru,Ruiru,250 m²,4,4,"KSh 29,500,000",House,Sale
400,"Runda Meadows, Runda, Westlands",6460 ft²,5,4,"KSh 120,000,000",House,Sale
Malaa,Kamulu Joska Malaa,135 m²,3,2,"KSh 6,500,000",House,Sale
Ruiru,Ruiru,230 m²,4,4,"KSh 14,800,000",House,Sale
Lavington,Lavington,None,5,6,"KSh 95,000,000",House,Sale
Nyari,Westlands,None,4,5,"KSh 550,000",House,Sale
muthangari road,Lavington,None,5,5,"KSh 78,000,000",House,Sale
Ruiru,Ruiru,None,4,,"KSh 15,000,000",House,Sale
Kitengela,Kitengela,None,3,,"KSh 8,500,000",House,Sale
Kitisuru,Westlands,None,5,5,"KSh 135,000,000",House,Sale
Ruiru,Ruiru,None,4,,"KSh 14,800,000",House,Sale
Kitisuru,Westlands,None,5,,"KSh 135,000,000",House,Sale
Kikuyu,Kikuyu Town,None,4,5,"KSh 39,990,000",House,Sale
Ruiru,Ruiru,3200 ft²,3,4,"KSh 7,300,000",House,Sale
Thika,Thika,5000 ft²,4,3,"KSh 8,500,000",House,Sale
Ruiru,Ruiru,3200 ft²,3,4,"KSh 9,800,000",House,Sale
Kitengela,Kitengela,4000 ft²,3,4,"KSh 6,500,000",House,Sale
Kitengela,Kitengela,None,3,3,"KSh 6,500,000",House,Sale
Bahari Estate,"Portreitz, Mombasa CBD, Mombasa Island",1000 m²,4,3,"KSh 28,000,000",House,Sale
