Location,Other Location Details,Full Location Details,Size,Bedrooms,Bathrooms,Property Type,Purchase Type,Price,Site
Ongata Rongai,Ongata Rongai,"Ongata Rongai,Ongata Rongai",None,4,2,House,Sale,"KSh 16,400,000",buyrentkenya
Windy Ridge,Karen,"Windy Ridge,Karen",None,4,4,House,Sale,"KSh 59,000,000",buyrentkenya
Phase 2,Buruburu,"Phase 2,Buruburu",None,4,2,House,Sale,"KSh 13,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Sale,"KSh 55,000,000",buyrentkenya
Athi river,Kitengela,"Athi river,Kitengela",10000 ft²,4,4,House,Sale,"KSh 17,000,000",buyrentkenya
Muthaiga,Muthaiga,"Muthaiga,Muthaiga",None,4,4,House,Sale,"KSh 115,000,000",buyrentkenya
Muthaiga,Muthaiga,"Muthaiga,Muthaiga",None,4,4,House,Sale,"KSh 169,000,000",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,4,5,House,Sale,"KSh 350,000",buyrentkenya
Kimbo,Ruiru,"Kimbo,Ruiru",5000 ft²,3,3,House,Sale,"KSh 10,000,000",buyrentkenya
Juja,Juja,"Juja,Juja",5000 ft²,3,3,House,Sale,"KSh 8,000,000",buyrentkenya
Evergreen,"Runda, Westlands","Evergreen,Runda, Westlands",None,5,5,House,Sale,"KSh 150,000,000",buyrentkenya
Bomas,Karen,"Bomas,Karen",None,4,4,House,Sale,"KSh 78,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",5000 ft²,5,6,House,Sale,"KSh 60,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",403 m²,4,5,House,Sale,"KSh 62,000,000",buyrentkenya
Ngong,Ngong,"Ngong,Ngong",4000 ft²,3,3,House,Sale,"KSh 7,500,000",buyrentkenya
Kamakis,Ruiru,"Kamakis,Ruiru",4000 ft²,4,4,House,Sale,"KSh 19,500,000",buyrentkenya
Ngong,Ngong,"Ngong,Ngong",4000 ft²,3,4,House,Sale,"KSh 7,500,000",buyrentkenya
Kitengela,Kitengela,"Kitengela,Kitengela",4000 ft²,3,4,House,Sale,"KSh 8,500,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",250 m²,4,4,House,Sale,"KSh 29,500,000",buyrentkenya
400,"Runda Meadows, Runda, Westlands","400,Runda Meadows, Runda, Westlands",6460 ft²,5,4,House,Sale,"KSh 120,000,000",buyrentkenya
Malaa,Kamulu Joska Malaa,"Malaa,Kamulu Joska Malaa",135 m²,3,2,House,Sale,"KSh 6,500,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",230 m²,4,4,House,Sale,"KSh 14,800,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,6,House,Sale,"KSh 95,000,000",buyrentkenya
Nyari,Westlands,"Nyari,Westlands",None,4,5,House,Sale,"KSh 550,000",buyrentkenya
muthangari road,Lavington,"muthangari road,Lavington",None,5,5,House,Sale,"KSh 78,000,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",None,4,,House,Sale,"KSh 15,000,000",buyrentkenya
Kitengela,Kitengela,"Kitengela,Kitengela",None,3,,House,Sale,"KSh 8,500,000",buyrentkenya
Kitisuru,Westlands,"Kitisuru,Westlands",None,5,5,House,Sale,"KSh 135,000,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",None,4,,House,Sale,"KSh 14,800,000",buyrentkenya
Kitisuru,Westlands,"Kitisuru,Westlands",None,5,,House,Sale,"KSh 135,000,000",buyrentkenya
Kikuyu,Kikuyu Town,"Kikuyu,Kikuyu Town",None,4,5,House,Sale,"KSh 39,990,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",3200 ft²,3,4,House,Sale,"KSh 7,300,000",buyrentkenya
Thika,Thika,"Thika,Thika",5000 ft²,4,3,House,Sale,"KSh 8,500,000",buyrentkenya
Ruiru,Ruiru,"Ruiru,Ruiru",3200 ft²,3,4,House,Sale,"KSh 9,800,000",buyrentkenya
Kitengela,Kitengela,"Kitengela,Kitengela",4000 ft²,3,4,House,Sale,"KSh 6,500,000",buyrentkenya
Kitengela,Kitengela,"Kitengela,Kitengela",None,3,3,House,Sale,"KSh 6,500,000",buyrentkenya
Bahari Estate,"Portreitz, Mombasa CBD, Mombasa Island","Bahari Estate,Portreitz, Mombasa CBD, Mombasa Island",1000 m²,4,3,House,Sale,"KSh 28,000,000",buyrentkenya
KITENGELA,Kitengela,"KITENGELA,Kitengela",137 m²,3,4,House,Sale,"KSh 5,500,000",buyrentkenya
Ruaka,"Clifftop Estate, Banana, Muchatha and Banana","Ruaka,Clifftop Estate, Banana, Muchatha and Banana",1400 ft²,3,2,House,Sale,"KSh 12,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,6,6,House,Sale,"KSh 80,000,000",buyrentkenya
Kangundo Road,"Joska, Kamulu Joska Malaa","Kangundo Road,Joska, Kamulu Joska Malaa",None,3,4,House,Sale,"KSh 14,000,000",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,6,6,House,Sale,"KSh 155,000,000",buyrentkenya
Runda,Westlands,"Runda,Westlands",None,5,5,House,Sale,"KSh 210,000,000",buyrentkenya
1,Ruiru,"1,Ruiru",300 m²,4,4,House,Sale,"KSh 11,500,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,4,4,House,Sale,"KSh 78,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Sale,"KSh 90,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,3,2,House,Sale,"KSh 198,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Sale,"KSh 56,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Sale,"KSh 120,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,5,House,Sale,"KSh 95,000,000",buyrentkenya
Muthangari Road,"Westlands Area, Westlands","Muthangari Road,Westlands Area, Westlands",None,4,4,House,Sale,"KSh 78,000,000",buyrentkenya
Mtomondoni,Mtwapa,"Mtomondoni,Mtwapa",None,3,2,House,Sale,"KSh 12,500,000",buyrentkenya
Spring Valley,Westlands,"Spring Valley,Westlands",None,4,4,House,Sale,"KSh 63,000,000",buyrentkenya
Kileleshwa,Kileleshwa,"Kileleshwa,Kileleshwa",None,5,5,House,Sale,"KSh 45,000,000",buyrentkenya
Off Waiyaki Way,Lavington,"Off Waiyaki Way,Lavington",None,4,4,House,Sale,"KSh 38,000,000",buyrentkenya
Karen,Karen,"Karen,Karen",None,4,5,House,Sale,"KSh 96,000,000",buyrentkenya
Tigoni,Limuru,"Tigoni,Limuru",None,5,,House,Sale,"KSh 75,000,000",buyrentkenya
Ruaka Road.,"Runda, Westlands","Ruaka Road.,Runda, Westlands",2024 m²,5,5,House,Sale,"KSh 90,000,000",buyrentkenya
Nyali,Nyali Area,"Nyali,Nyali Area",None,4,,House,Sale,"KSh 30,000,000",buyrentkenya
Lavington,Lavington,"Lavington,Lavington",None,5,6,House,Sale,"KSh 55,000,000",buyrentkenya
Kitengela,Kitengela,"Kitengela,Kitengela",5000 ft²,3,3,House,Sale,"KSh 6,500,000",buyrentkenya
