Location,Beds,Baths,Toilets,Price,Property Type,Purchase Type
Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
Donholm Nairobi,2,2,2,"KSh 18,000",House,Rent
Donholm Nairobi,1,1,1,"KSh 6,500",House,Rent
Donholm Nairobi,3,3,3,"KSh 25,000",House,Rent
Donholm Nairobi,2,2,2,"KSh 17,000",House,Rent
Woodley Kenyatta Golf Course Nairobi,1,1,1,"KSh 10,000",House,Rent
Syokimau Syokimau Nairobi,3,3,3,"KSh 30,000",House,Rent
Umoja Nairobi,2,2,2,"KSh 16,000",House,Rent
Umoja Nairobi,3,3,3,"KSh 25,000",House,Rent
South C Nairobi,2,2,2,"KSh 25,000",House,Rent
Lower Kabete Nairobi,2,2,2,"KSh 20,000",House,Rent
Baba Dogo Nairobi,beds,baths,Toilets,"KSh 49,410",Other,Rent
Ruaka Nairobi,1,1,1,"KSh 7,000",House,Rent
Hurlingham Jabavu Lane Hurlingham Nairobi,1,1,1,"KSh 10,000",House,Rent
Lower Kabete Westlands Nairobi,1,2,2,"KSh 10,000",House,Rent
Spring valley Spring Valley Nairobi,3,2,2,"$ 40,000",House,Rent
Walking distance from total Spring Valley Nairobi,3,3,3,"KSh 30,000",House,Rent
OLE SHAPARA South C Nairobi,3,3,3,"KSh 35,000",Apartment,Rent
Riruta Satellite Nairobi,1,1,1,"KSh 5,000",Apartment,Rent
strathmore Madaraka Nairobi,2,2,2,"KSh 20,000",House,Rent
Roysambu Nairobi,1,1,1,"KSh 6,500",House,Rent
Buruburu Nairobi,1,1,1,"KSh 6,000",Apartment,Rent
Kahawa West Nairobi,2,2,2,"KSh 15,000",House,Rent
Roysambu Nairobi,2,2,2,"KSh 18,000",House,Rent
Donholm mara savannah Donholm Nairobi,3,2,2,"KSh 18,500",House,Rent
Kasarani Nairobi,1,1,1,"KSh 6,000",House,Rent
Ngara Ngara Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Ngara Nairobi,2,2,2,"KSh 18,000",House,Rent
Kasarani Nairobi,1,1,1,"KSh 10,000",House,Rent
Karen Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Westlands Nairobi,1,1,1,"KSh 20,000",House,Rent
Kasarani Nairobi,2,2,2,"KSh 17,000",House,Rent
Madaraka estate Madaraka Nairobi,2,2,2,"KSh 30,000",House,Rent
PARKROAD Ngara Nairobi,3,2,2,"KSh 40,000",House,Rent
Buruburu Nairobi,2,2,2,"KSh 18,000",House,Rent
Buruburu Nairobi,3,3,3,"KSh 28,000",House,Rent
Madaraka Nairobi,2,2,2,"KSh 27,000",House,Rent
Kahawa Sukari Nairobi,2,2,Toilets,"KSh 20,000",House,Rent
DESAI ROAD Ngara Nairobi,2,1,1,"KSh 30,000",Apartment,Rent
Chai road Pangani Nairobi,1,1,1,"KSh 10,000",Apartment,Rent
Buruburu Nairobi,1,1,1,"KSh 14,000",House,Rent
Buruburu Nairobi,1,1,Toilets,"KSh 8,000",House,Rent
Madaraka Nairobi,1,1,1,"KSh 18,000",Apartment,Rent
South B South B Nairobi,1,1,1,"KSh 9,000",Apartment,Rent
PARKROAD Ngara Nairobi,2,1,1,"KSh 28,000",Apartment,Rent
Madaraka Nairobi,1,1,1,"KSh 8,500",Apartment,Rent
Kahawa Sukari Nairobi,1,1,1,"KSh 13,000",House,Rent
Fig tree area Ngara Nairobi,1,1,1,"KSh 5,000",Apartment,Rent
Ngara Ngara Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Behind Equity bank Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
Kahawa Sukari Nairobi,1,1,1,"KSh 7,500",House,Rent
Caltex Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
Phase 5 Donholm Nairobi,2,3,3,"KSh 20,000",House,Rent
Chai road Pangani Nairobi,1,1,1,"KSh 10,000",House,Rent
Savannah Donholm Nairobi,2,3,3,"KSh 20,000",House,Rent
Mara Savannah Donholm Nairobi,3,4,4,"KSh 30,000",House,Rent
Harambee SACCO Donholm Nairobi,3,4,4,"KSh 30,000",House,Rent
South B South B Nairobi,1,1,1,"KSh 7,000",House,Rent
PARKROAD Ngara Nairobi,1,1,1,"KSh 25,000",Apartment,Rent
Karen school of law Karen Nairobi,2,2,2,"KSh 32,000",House,Rent
DESAI ROAD Ngara Nairobi,2,1,1,"KSh 20,000",Apartment,Rent
Jamhuri estate Jamhuri Nairobi,1,1,1,"KSh 15,000",House,Rent
Kwa chief Buruburu Nairobi,1,1,1,"KSh 10,000",Apartment,Rent
Kodi road Nairobi West Nairobi,1,1,1,"KSh 13,000",House,Rent
South C Nairobi,1,baths,Toilets,"KSh 20,000",House,Rent
Near kwa chief Utawala Nairobi,1,1,1,"KSh 9,000",Apartment,Rent
Ngara stima plaza Ngara Nairobi,1,1,1,"KSh 14,000",House,Rent
Imara daima Imara Daima Nairobi,2,2,2,"KSh 22,000",House,Rent
Maziwa stage Imara Daima Nairobi,1,1,1,"KSh 8,000",House,Rent
Thika road Roysambu Area Roysambu Nairobi,1,1,1,"KSh 9,000",Apartment,Rent
Kilimani Nairobi,2,2,2,"KSh 6,500,000",Apartment,Rent
Donholm estate Donholm Nairobi,1,1,1,"KSh 9,000",House,Rent
Kilimani Nairobi,1,1,1,"KSh 55,000",Apartment,Rent
Kilimani Nairobi,1,1,1,"KSh 45,000",Apartment,Rent
Ngara Ngara Nairobi,1,1,1,"KSh 15,000",Apartment,Rent
Chai road Pangani Nairobi,1,1,1,"KSh 10,000",Apartment,Rent
Umoja 2 Umoja Ii Nairobi,1,1,1,"KSh 6,000",Apartment,Rent
Umoja 2 Umoja Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Behind Railways Training Inst South B Nairobi,1,1,1,"KSh 10,000",House,Rent
Behind The Mater Hosp South B Nairobi,1,1,1,"KSh 10,000",House,Rent
Diamond Park South B Nairobi,2,3,3,"KSh 20,000",House,Rent
Golden Gate South B Nairobi,2,3,3,"KSh 20,000",House,Rent
Balozi estate South B Nairobi,3,4,4,"KSh 30,000",House,Rent
Hazina estate South B Nairobi,3,4,4,"KSh 30,000",House,Rent
Ole Shapara South C Nairobi,1,1,1,"KSh 10,000",House,Rent
Mbungani estate South C Nairobi,1,1,1,"KSh 10,000",House,Rent
Mbungani estate South C Nairobi,2,3,3,"KSh 20,000",House,Rent
Mugoya estate South C Nairobi,2,3,3,"KSh 20,000",House,Rent
Muimara estate Imara Daima Nairobi,1,1,1,"KSh 10,000",House,Rent
Behind The Imaara Shopping Mall Imara Daima Nairobi,1,1,1,"KSh 10,000",House,Rent
Oak Park court Imara Daima Nairobi,2,3,3,"KSh 20,000",House,Rent
Villa Franca Imara Daima Nairobi,2,3,3,"KSh 20,000",House,Rent
Muimara estate Imara Daima Nairobi,2,3,3,"KSh 20,000",House,Rent
Umoja Ii Nairobi,2,2,2,"KSh 15,000",House,Rent
Kileleshwa Nairobi,3,3,3,"KSh 75,000",House,Rent
Kileleshwa cotton avenue Kileleshwa Dagoretti North Nairobi,2,2,2,"KSh 40,000",Apartment,Rent
Kilimani Kilimani Dagoretti North Nairobi,2,2,2,"KSh 40,000",Apartment,Rent
Buruburu Buruburu Nairobi,1,1,1,"KSh 12,000",Apartment,Rent
Buruburu Buruburu Nairobi,1,1,1,"KSh 12,000",Apartment,Rent
Hurlingham Hurlingham Nairobi,1,1,1,"KSh 17,000",House,Rent
Upper hill Upper Hill Langata Nairobi,2,2,2,"KSh 38,000",House,Rent
Ngara Ngara Nairobi,1,1,1,"KSh 7,000",House,Rent
Zimmerman Nairobi,1,baths,Toilets,"KSh 9,000",House,Rent
DESAI ROAD Ngara Nairobi,1,1,1,"KSh 15,000",Apartment,Rent
FIG TREE area Ngara Nairobi,1,1,1,"KSh 12,000",Apartment,Rent
syokimau Syokimau Nairobi,2,2,2,"KSh 48,000",Apartment,Rent
FIG TREE area Ngara Nairobi,beds,1,1,"KSh 8,000",Apartment,Rent
syokimau Syokimau Nairobi,3,3,2,"KSh 63,500",Apartment,Rent
Ngumba estate Ngumba Estate Kasarani Nairobi,1,1,1,"KSh 112,000",House,Rent
Kiambu road Kiambu Road Kiambu Road Nairobi,3,3,3,"KSh 30,000",House,Rent
Gigiri Gigiri Nairobi,3,3,3,"KSh 50,000",Apartment,Rent
Adam Acarde Ngong Rd Nairobi,1,1,1,"KSh 7,000",House,Rent
Ngumo. Estate Kenyatta market Ngumo Estate Langata Nairobi,1,1,1,"KSh 7,000",Apartment,Rent
Muchai drive NGO g road Ngong Rd Nairobi,1,1,1,"KSh 15,000",House,Rent
FIG TREE area Ngara Nairobi,beds,1,1,"KSh 6,000",Apartment,Rent
Kasarani ICIPE Kasarani Area Kasarani Nairobi,1,1,1,"KSh 9,000",House,Rent
Syokimau Syokimau Nairobi,3,3,3,"KSh 25,000",House,Rent
FIG TREE area Ngara Nairobi,beds,1,1,"KSh 7,000",Apartment,Rent
Chabi drive Lavington Nairobi,2,2,2,"KSh 40,000",House,Rent
Mogoya estate south C South C Nairobi,1,1,1,"KSh 8,000",House,Rent
POLICE LINE Donholm Nairobi,5,4,4,"KSh 60,000",House,Rent
Chai road Pangani Nairobi,1,1,1,"KSh 10,000",Apartment,Rent
GREENSPAN MALL AREA Donholm Nairobi,4,3,3,"KSh 50,000",House,Rent
Chai road Pangani Nairobi,beds,1,1,"KSh 6,000",Apartment,Rent
GREENSPAN MALL AREA Donholm Nairobi,3,2,2,"KSh 35,000",House,Rent
QUICKMART AREA Donholm Nairobi,3,2,2,"KSh 30,000",House,Rent
NAIVAS AREA Donholm Nairobi,3,2,2,"KSh 28,000",Apartment,Rent
Behind Maguna's supermarket Kahawa Wendani Nairobi,1,1,1,"KSh 10,000",House,Rent
vet ngong- JUANGO Ngong Rd Nairobi,beds,1,1,"KSh 8,500",Apartment,Rent
Behind Shell Petrol Station Kahawa Wendani Nairobi,1,1,1,"KSh 10,000",House,Rent
Behind Shell Petrol Station Kahawa Wendani Nairobi,2,3,3,"KSh 15,000",House,Rent
Behind Maguna's supermarket Kahawa Wendani Nairobi,2,3,3,"KSh 15,000",House,Rent
GREENSPAN MALL AREA Donholm Nairobi,2,1,1,"KSh 22,000",Apartment,Rent
Behind Shell Petrol Station Kahawa Sukari Nairobi,2,3,3,"KSh 20,000",House,Rent
Bungoma road Kahawa Sukari Nairobi,2,3,3,"KSh 20,000",House,Rent
Bungoma road Kahawa Sukari Nairobi,3,4,4,"KSh 30,000",House,Rent
GREENSPAN MALL AREA Donholm Nairobi,2,1,1,"KSh 20,000",Apartment,Rent
NAIVAS AREA Donholm Nairobi,2,1,1,"KSh 18,000",Apartment,Rent
Behind Turkeys supermarket Buruburu Nairobi,1,1,1,"KSh 10,000",House,Rent
Phase 3 Buruburu Nairobi,1,1,1,"KSh 10,000",House,Rent
Phase 3 Buruburu Nairobi,2,3,3,"KSh 15,000",House,Rent
NAIVAS AREA Donholm Nairobi,1,1,1,"KSh 15,000",Apartment,Rent
Mumias road Buruburu Nairobi,2,3,3,"KSh 15,000",House,Rent
Phase 2 Buruburu Nairobi,2,3,3,"KSh 15,000",House,Rent
Muimara Estate Imara Daima Nairobi,2,2,2,"KSh 15,000",House,Rent
Donholm Nairobi,1,1,1,"KSh 12,000",Apartment,Rent
Near green house Ngong Rd Nairobi,2,2,2,"KSh 16,000",House,Rent
Donholm Nairobi,2,2,2,"KSh 18,000",House,Rent
NAIVAS AREA Donholm Nairobi,1,1,1,"KSh 10,000",Apartment,Rent
Donholm Nairobi,3,3,3,"KSh 28,000",House,Rent
Near magunas supermarket Kahawa Wendani Nairobi,2,2,2,"KSh 15,000",House,Rent
Karen Nairobi,2,2,2,"KSh 26,000",House,Rent
Near naivas supermarket Donholm Nairobi,1,1,1,"KSh 10,000",House,Rent
NAIVAS AREA Donholm Nairobi,beds,1,1,"KSh 7,000",Apartment,Rent
NAIVAS AREA Donholm Nairobi,beds,1,1,"KSh 5,000",Apartment,Rent
NAIVAS AREA Donholm Nairobi,beds,1,1,"KSh 6,000",Apartment,Rent
Donholm Nairobi,1,1,1,"KSh 13,000",House,Rent
Donholm Nairobi,1,1,1,"KSh 7,500",House,Rent
Karen Nairobi,1,1,1,"KSh 15,000",Apartment,Rent
Karen Nairobi,1,1,1,"KSh 8,500",Apartment,Rent
Kodi road Nairobi West Nairobi,1,1,1,"KSh 13,000",House,Rent
Phase 2 Buruburu Nairobi,3,4,4,"KSh 25,000",House,Rent
Mesora Buruburu Nairobi,3,4,4,"KSh 25,000",House,Rent
KASARANI EQUITY Kasarani Nairobi,2,2,2,"KSh 17,000",Apartment,Rent
Buruburu Nairobi,1,1,Toilets,"KSh 9,000",House,Rent
South B Nairobi,1,baths,Toilets,"KSh 10,000",House,Rent
Ngara Nairobi,1,1,Toilets,"KSh 10,000",House,Rent
Roysambu Nairobi,1,baths,Toilets,"KSh 10,000",House,Rent
Jamhuri Nairobi,2,2,Toilets,"KSh 20,000",House,Rent
Utawalla quick matt Utawala Nairobi,1,1,1,"KSh 8,000",House,Rent
Quick matt area Utawala Nairobi,1,1,1,"KSh 6,000",House,Rent
Near school of law Karen Nairobi,3,3,3,"KSh 75,000",House,Rent
Utawala Nairobi,1,1,1,"KSh 10,000",House,Rent
Hurlingham Nairobi,3,2,2,"KSh 35,000",House,Rent
Langata Nairobi,3,3,3,"KSh 50,000",House,Rent
Imara Daima Nairobi,1,1,1,"KSh 10,000",House,Rent
Fedha Nairobi,2,2,2,"KSh 16,000",House,Rent
Fedha near quick mart Fedha Nairobi,2,2,3,"KSh 15,000",Apartment,Rent
Imara daima behind imara mall Imara Daima Nairobi,2,2,2,"KSh 18,000",Apartment,Rent
Mlolongo Nairobi,1,1,1,"KSh 5,000",House,Rent
Ngong Rd Nairobi,1,1,1,"KSh 10,000",House,Rent
Parkland Nairobi,1,1,1,"KSh 10,000",House,Rent
Utawala Nairobi,3,3,3,"KSh 20,000",House,Rent
Langata Nairobi,1,1,1,"KSh 12,000",House,Rent
Kangemi Nairobi,1,1,1,"KSh 10,000",House,Rent
Karen Nairobi,5,5,5,"KSh 250,000",House,Rent
Karen Nairobi,5,5,5,"KSh 350,000",House,Rent
