Location,Beds,Baths,Toilets,Price,Property Type,Purchase Type
Kileleshwa Nairobi,3,3,3,"KSh 18,000,000",Apartment,Sale
Riverside Nairobi,beds,baths,Toilets,"KSh 190,000,000",Other,Sale
Parklands Nairobi,3,3,3,"KSh 18,000,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 22,000,000",Apartment,Sale
Parklands Nairobi,4,4,4,"KSh 18,000,000",Apartment,Sale
Westlands Nairobi,2,2,2,"$ 25,000,000",Apartment,Sale
Parklands Nairobi,beds,baths,Toilets,"KSh 17,000,000",Other,Sale
Parklands Nairobi,4,4,4,"KSh 23,500,000",Apartment,Sale
Runda Nairobi,4,4,4,"KSh 70,000,000",House,Sale
Ruai Nairobi,beds,baths,Toilets,"KSh 36,500,000",Other,Sale
Lavington Nairobi,4,4,4,"KSh 25,000,000",Apartment,Sale
Mombasa Road Nairobi,beds,baths,Toilets,"KSh 69,000,000",House,Sale
Westlands Nairobi,3,3,3,"KSh 13,000,000",Apartment,Sale
Westlands Nairobi,beds,baths,Toilets,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"$ 7,000,000",Apartment,Sale
Westlands Nairobi,3,3,3,"KSh 30,000,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 8,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 6,500,000",Apartment,Sale
Kilimani Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 10,900,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,3,3,3,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 9,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 13,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,3,4,"KSh 11,000,000",Apartment,Sale
Embakasi Nairobi,beds,baths,Toilets,"KSh 375,000,000",House,Sale
Makadara Nairobi,3,3,3,"KSh 8,950,000",Apartment,Sale
Kileleshwa Nairobi,3,3,3,"KSh 15,500,000",Apartment,Sale
Ngong Rd Nairobi,2,3,3,"KSh 5,500,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,2,2,2,"KSh 8,950,000",Apartment,Sale
Waiyaki Way Westlands Nairobi,3,3,3,"KSh 12,950,000",Apartment,Sale
Kilimani Nairobi,3,5,5,"KSh 22,152,000",Apartment,Sale
Kilimani Nairobi,4,5,5,"KSh 25,810,000",Apartment,Sale
Westlands Nairobi,1,2,2,"KSh 21,600,000",Apartment,Sale
Westlands Nairobi,2,1,1,"KSh 27,000,000",Apartment,Sale
Embakasi Nairobi,7,8,8,"KSh 90,000,000",Other,Sale
Kitisuru Nairobi,4,4,4,"KSh 15,000,000",House,Sale
"Mbagathi, Nairobi Central Nairobi",3,3,3,"KSh 8,500,000",Apartment,Sale
"Mbagathi, Nairobi Central Nairobi",2,2,2,"KSh 6,500,000",Apartment,Sale
Kitisuru Nairobi,4,5,5,"KSh 15,000,000",Apartment,Sale
Kilimani Nairobi,4,6,6,"KSh 30,000,000",Apartment,Sale
Imara Daima Nairobi,2,3,3,"KSh 7,800,000",Apartment,Sale
Kileleshwa Nairobi,5,5,5,"KSh 35,000,000",House,Sale
Kilimani Nairobi,3,3,3,"KSh 16,500,000",Apartment,Sale
Lower Kabete Nairobi,5,6,6,"KSh 185,000,000",House,Sale
Lower Kabete Nairobi,3,4,4,"KSh 95,000,000",House,Sale
Karen Nairobi,4,5,5,"KSh 75,000,000",House,Sale
Karen Nairobi,4,5,5,"KSh 85,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 170,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 105,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 99,000,000",House,Sale
Karen Nairobi,5,6,6,"KSh 70,000,000",House,Sale
Westlands Nairobi,3,4,4,"KSh 20,000,000",Apartment,Sale
Westlands Nairobi,3,4,4,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 9,000,000",Apartment,Sale
Westlands Nairobi,2,3,3,"KSh 10,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 6,950,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Lavington Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,2,3,4,"KSh 7,000,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Lavington Nairobi,1,1,1,"KSh 5,500,000",Apartment,Sale
Kileleshwa Nairobi,4,4,4,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,4,5,5,"KSh 20,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 10,000,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kileleshwa Nairobi,2,3,3,"KSh 9,500,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 12,500,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,3,4,4,"KSh 11,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 6,800,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Kilimani Nairobi,2,3,3,"KSh 7,000,000",Apartment,Sale
Valley Arcade Nairobi,2,2,3,"KSh 11,500,000",Apartment,Sale
Valley Arcade Nairobi,2,2,2,"KSh 10,500,000",Apartment,Sale
Valley Arcade Nairobi,2,2,2,"KSh 9,500,000",Apartment,Sale
Valley Arcade Nairobi,1,1,1,"KSh 7,000,000",Apartment,Sale
Valley Arcade Nairobi,1,1,1,"KSh 6,500,000",Apartment,Sale
Westlands Nairobi,5,7,7,"KSh 45,000,000",House,Sale
Kilimani Nairobi,2,2,2,"KSh 15,500,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 23,000,000",Apartment,Sale
Lavington Nairobi,3,3,3,"KSh 16,000,000",Apartment,Sale
Kileleshwa Nairobi,5,7,7,"KSh 290,000,000",House,Sale
Ruaka Nairobi,2,2,2,"KSh 8,000,000",Apartment,Sale
Ruaka Nairobi,2,2,2,"KSh 8,500,000",Apartment,Sale
Westlands Nairobi,3,3,3,"KSh 19,000,000",Apartment,Sale
Westlands Nairobi,2,2,2,"KSh 12,000,000",Apartment,Sale
Westlands Nairobi,1,1,1,"KSh 9,000,000",Apartment,Sale
Lavington Nairobi,5,7,7,"KSh 55,000,000",House,Sale
Kileleshwa Nairobi,3,4,4,"KSh 19,955,000",Apartment,Sale
Kilimani Nairobi,3,3,3,"KSh 13,600,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 8,800,000",Apartment,Sale
Kilimani Nairobi,2,2,2,"KSh 9,000,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 11,000,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 12,000,000",Apartment,Sale
Kileleshwa Nairobi,2,1,1,"KSh 7,500,000",Apartment,Sale
Kileleshwa Nairobi,2,1,1,"KSh 8,500,000",Apartment,Sale
Kileleshwa Nairobi,beds,1,1,"KSh 3,600,000",Apartment,Sale
Kileleshwa Nairobi,3,1,1,"KSh 13,000,000",Apartment,Sale
Kahawa West Nairobi,3,2,2,"KSh 8,300,000",Apartment,Sale
